Vote code,Region,District,Population (2015/16),"Hard to Reach, Hard to Stay (2015/16)",Population per health facility (2015/16),Rural Population (2015/16),Constant (Public or PNFP Hospitals) (2015/16),Constant (District) (2015/16),Poverty Headcount (2015/16),Constant (Municipality) (2015/16),Distance from Kampala (Municipality) (2015/16),Distance from Kampala (District) (2015/16)
573,Northern Region,Abim District,129399.99804688,1,6810.5263671875,108700.24414062,1,2,0.7419999837875401,0,0.0,840.0
501,Northern Region,Adjumani District,239500.00097656,1,7044.1176757812,195155.62988281,1,2,0.42299997806549,0,0.0,914.0
611,Northern Region,Agago District,237899.99951172,1,5802.4389648438,207337.515625,1,2,0.35400000214577004,0,0.0,856.0
588,Northern Region,Alebtong District,241999.99707031,0,11000.0,234927.5703125,0,2,0.35400000214577004,0,0.0,750.0
564,Northern Region,Amolatar District,161600.00097656,0,12430.76953125,138026.87304688,0,2,0.35400000214577004,0,0.0,792.0
581,Northern Region,Amudat District,127099.99804688,1,12710.0,113919.2578125,0,2,0.7419999837875401,0,0.0,820.0
565,Eastern Region,Amuria District,296400.00292969,0,8010.8110351562,288659.75195312,0,2,0.24700000882149,0,0.0,664.0
570,Northern Region,Amuru District,205300.00292969,1,5865.7143554688,194629.73828125,0,2,0.35400000214577004,0,0.0,756.0
502,Northern Region,Apac District,357577.09179688,0,10516.973632812,349230.19140625,1,2,0.35400000214577004,0,0.0,518.0
793,Northern Region,Apac Municipal Council,44722.8984375,0,44722.8984375,0.0,0,0,0.14439475536346,1,257.0,0.0
503,Northern Region,Arua District,779000.00292969,0,12365.079101562,779000.00292969,0,2,0.42299997806549,0,0.0,958.0
751,Northern Region,Arua Municipal Council,67500.001953125,0,11250.0,0.0,0,0,0.17253948748112,1,479.0,0.0
571,Eastern Region,Budaka District,229200.00097656,0,9965.2177734375,203044.11425781,1,2,0.24700000882149,0,0.0,414.0
579,Eastern Region,Bududa District,239499.99755859,0,14968.75,231875.27050781,1,2,0.24700000882149,0,0.0,530.0
504,Eastern Region,Bugiri District,403947.09960938,1,8415.564453125,403947.09960938,1,2,0.24299998581409,0,0.0,312.0
795,Eastern Region,Bugiri Municipal Council,32552.89453125,0,8138.2236328125,0.0,0,0,0.09911842644214601,1,153.0,0.0
610,Western Region,Buhweju District,135800.00170898,0,9700.0,132704.25683594,0,2,0.07599999755621001,0,0.0,638.0
582,Central Region,Buikwe District,160931.04394531,0,6437.2416992188,133666.7109375,1,2,0.07299999892711599,0,0.0,123.6
578,Eastern Region,Bukedea District,208300.00488281,0,13018.75,201367.01953125,0,2,0.24700000882149,0,0.0,494.0
600,Central Region,Bukomansimbi District,153100.00390625,0,6124.0,143254.99023438,0,2,0.037000000476837006,0,0.0,320.0
567,Eastern Region,Bukwo District,102300.0,1,6017.6469726562,93495.49121093801,1,2,0.24700000882149,0,0.0,714.0
589,Eastern Region,Bulambuli District,203400.00195312,0,8475.0,184937.70214844,0,2,0.24700000882149,0,0.0,596.0
576,Western Region,Buliisa District,129699.99707031,0,10808.333007812,121318.73730469,1,2,0.098000004887581,0,0.0,562.0
505,Western Region,Bundibugyo District,241800.00048828,1,9672.0,200432.82519531,1,2,0.098000004887581,0,0.0,788.0
1006,Western Region,Bunyangabu District,152997.31201172,0,8052.490234375,119509.02539062,0,2,0.098000004887581,0,0.0,606.0
506,Western Region,Bushenyi District,199799.99902344,0,5123.0766601562,191327.9140625,0,2,0.07599999755621001,0,0.0,660.0
777,Western Region,Bushenyi- Ishaka Municipal Council,42200.000976562005,0,42200.0,0.0,0,0,0.031000001356005998,1,330.0,0.0
507,Eastern Region,Busia District,292500.00292969,0,6223.404296875,292500.00292969,1,2,0.24700000882149,0,0.0,384.0
776,Eastern Region,Busia Municipal Council,60900.001953125,0,30450.0,0.0,0,0,0.10075000673532,1,192.0,0.0
557,Eastern Region,Butaleja District,271800.0,0,10872.0,231610.0625,1,2,0.24700000882149,0,0.0,506.0
608,Central Region,Butambala District,103500.00097656,0,4928.5712890625,87848.78125,1,2,0.037000000476837006,0,0.0,162.6
1003,Central Region,Butebo District,158311.51367188,0,12177.80859375,158311.51367188,1,2,0.24700000882149,0,0.0,400.0
590,Central Region,Buvuma District,106999.99902344,1,8916.6669921875,95311.81640625,0,2,0.07299999892711599,0,0.0,176.0
